POS	DRIVER	CAR	MANUFACTURER	LAPS	START	LED	PTS	BONUS	PENALTY	
1	Shane van Gisbergen	97	Chevrolet	110	6	74	63	8	0	
2	Chase Briscoe	19	Toyota	110	7	0	37	2	0	
3	Ty Gibbs	54	Toyota	110	1	31	54	20	0	
4	Kyle Larson	5	Chevrolet	110	3	2	35	2	0	
5	Christopher Bell	20	Toyota	110	14	0	50	18	0	
6	Ryan Blaney	12	Ford	110	16	1	32	1	0	
7	Connor Zilisch	88	Chevrolet	110	17	0	33	3	0	
8	Ryan Preece	60	Ford	110	19	0	35	6	0	
9	Michael McDowell	71	Chevrolet	110	4	0	36	8	0	
10	Alex Bowman	48	Chevrolet	110	22	0	32	5	0	
11	Carson Hocevar	77	Chevrolet	110	2	0	33	7	0	
12	William Byron	24	Chevrolet	110	13	1	25	0	0	
13	Austin Cindric	2	Ford	110	23	0	31	7	0	
14	Ross Chastain	1	Chevrolet	110	5	1	29	6	0	
15	Brad Keselowski	6	Ford	110	35	0	22	0	0	
16	AJ Allmendinger	16	Chevrolet	110	8	0	29	8	0	
17	Chase Elliott	9	Chevrolet	110	18	0	20	0	0	
18	Zane Smith	38	Ford	110	24	0	24	5	0	
19	Chris Buescher	17	Ford	110	15	0	18	0	0	
20	Cole Custer	41	Chevrolet	110	27	0	17	0	0	
21	Ricky Stenhouse Jr.	47	Chevrolet	110	33	0	16	0	0	
22	Bubba Wallace	23	Toyota	110	26	0	15	0	0	
23	Erik Jones	43	Toyota	110	32	0	17	3	0	
24	Joey Logano	22	Ford	110	10	0	13	0	0	
25	John Hunter Nemechek	42	Toyota	110	20	0	12	0	0	
26	Denny Hamlin	11	Toyota	110	9	0	11	0	0	
27	Austin Dillon	3	Chevrolet	110	30	0	10	0	0	
28	Josh Berry	21	Ford	110	28	0	9	0	0	
29	Todd Gilliland	34	Ford	110	29	0	8	0	0	
30	Riley Herbst	35	Toyota	110	25	0	8	1	0	
31	Daniel Suarez	7	Chevrolet	110	21	0	6	0	0	
32	Noah Gragson	4	Ford	110	34	0	5	0	0	
33	Cody Ware	51	Chevrolet	109	36	0	4	0	0	
34	Austin Hill	33	Chevrolet	109	12	0	0	0	0	
35	Ty Dillon	10	Chevrolet	109	31	0	2	0	0	
36	Tyler Reddick	45	Toyota	106	11	0	2	1	0	
